formula_id,texapon_sb_3_kc_pct,plantapon_acg_50_pct,plantapon_lc_7_pct,plantacare_818_pct,plantacare_2000_pct,dehyton_mc_pct,dehyton_pk_45_pct,dehyton_ml_pct,dehyton_ab_30_pct,plantapon_amino_scg_l_pct,plantapon_amino_kg_l_pct,dehyquart_a_ca_pct,luviquat_excellence_pct,dehyquart_cc6_pct,dehyquart_cc7_benz_pct,salcare_super_7_pct,arlypon_f_pct,arlypon_tt_pct,water_pct,is_stable,turbidity_ntu,turbidity_error,viscosity_category,rheology_type
97,8.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.92,74.37,0,,,,
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,0.0,8.72,1.35,0.0,0.0,0.0,0.0,1.14,75.91,0,,,,
99,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,8.49,2.75,0.0,0.0,0.0,0.0,1.21,79.8,0,,,,
100,0.0,0.0,0.0,0.0,0.0,0.0,10.09,0.0,0.0,0.0,11.3,0.0,1.42,0.0,0.0,0.0,0.0,1.36,75.83,0,,,,
101,0.0,0.0,0.0,0.0,0.0,9.87,0.0,0.0,13.09,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,1.23,74.66,1,21.0,1.0,LOW,SHEAR-THIN
102,0.0,0.0,0.0,8.37,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,1.44,78.73,1,18.0,1.0,VERY-LOW,NEWTONIAN
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0,10.31,2.5,0.0,0.0,0.0,0.0,1.52,77.52,1,22.0,0.0,VERY-LOW,NEWTONIAN
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,12.83,0.0,0.0,2.54,0.0,0.0,0.0,0.0,4.72,69.23,0,,,,
105,5.45,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,1.88,78.37,0,,,,
106,0.0,13.49,0.0,0.0,0.0,0.0,0.0,10.44,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,4.88,68.27,0,,,,
107,0.0,13.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0.0,1.78,0.0,0.0,0.0,0.0,1.98,71.31,0,,,,
108,0.0,0.0,0.0,0.0,0.0,12.34,0.0,0.0,0.0,8.93,0.0,0.0,3.07,0.0,0.0,0.0,0.0,2.14,73.52,0,,,,
109,0.0,11.91,0.0,0.0,0.0,0.0,0.0,9.94,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.94,76.11,1,30.0,1.0,VERY-LOW,NEWTONIAN
110,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,0.99,0.0,0.0,0.0,0.0,1.43,76.8,0,,,,
111,0.0,0.0,0.0,8.53,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.33,81.54,1,18.0,0.0,VERY-LOW,NEWTONIAN
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,11.84,1.97,0.0,0.0,0.0,0.0,1.23,77.16,0,,,,
113,0.0,0.0,0.0,0.0,0.0,12.39,8.04,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,1.31,75.24,1,32.0,2.0,MEDIUM,SHEAR-THIN
114,0.0,0.0,0.0,0.0,0.0,12.17,0.0,0.0,11.06,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,4.62,69.29,0,,,,
115,0.0,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0,12.63,0.0,0.0,2.17,0.0,0.0,0.0,0.0,1.35,75.93,0,,,,
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.0,0.0,11.78,2.81,0.0,0.0,0.0,0.0,2.11,74.17,1,35.0,1.0,LOW,SHEAR-THIN
117,0.0,0.0,0.0,0.0,11.91,13.74,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,4.32,68.9,0,,,,
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81,9.82,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,1.7,75.43,0,,,,
119,0.0,0.0,0.0,0.0,0.0,11.58,0.0,8.63,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,1.47,76.45,0,,,,
120,0.0,0.0,0.0,0.0,13.32,0.0,0.0,0.0,0.0,0.0,0.0,8.28,2.67,0.0,0.0,0.0,0.0,4.34,71.39,0,,,,
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,12.97,0.0,2.56,0.0,0.0,0.0,0.0,1.49,71.87,0,,,,
122,0.0,0.0,0.0,0.0,0.0,0.0,10.83,11.02,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,3.39,71.8,0,,,,
123,0.0,0.0,0.0,0.0,0.0,0.0,12.53,12.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,2.0,71.86,0,,,,
124,0.0,0.0,0.0,12.02,0.0,0.0,0.0,0.0,13.18,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,2.79,70.88,0,,,,
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,10.55,1.17,0.0,0.0,0.0,0.0,5.24,72.64,0,,,,
